"Name","State","Notes","User","Tags","Created","Runtime","Sweep","C","classifier","degree_pol","descriptor","fisher","fisher_vector","kernel","level_pyramid","n_components","n_features","n_folds","n_words","scaler","step_size","algorithm","leaf_size","n_neighbors","p","AUC","accuracy","average_f1","average_precision","average_recall"
"pious-sweep-14","finished","-","luisgogu2001","","2023-12-27T04:20:19.000Z","1122","qj04povw","1","svm","2","sift","false","","poly","4","53","1024","5","251","true","","","","","","0.8805639975368367","0.5805293752469101","0.5932075545307867","0.6004661578996326","0.5862137699094916"
"golden-sweep-2","finished","-","luisgogu2001","","2023-12-30T09:14:53.000Z","131","8s9agf1a","0.001","logistic","","sift","false","","","1","22","1024","5","251","false","","","","","","0.9368161516078596","0.6565551103335403","0.6635411277471278","0.6640081452711131","0.6631287012523346"
"woven-sweep-11","finished","-","luisgogu2001","","2023-12-29T18:09:14.000Z","1272","mvg8t7z3","10","logistic","","dense_sift","false","","","3","56","1024","5","255","false","5","","","","","0.9713381121798722","0.7878675433150856","0.7877025379638789","0.7866410066061205","0.7887706659592972"
"curious-sweep-9","finished","-","luisgogu2001","","2023-12-28T12:00:15.000Z","700","hny0a3ht","0.001","svm","3","akaze","false","","precomputed","4","13","1024","5","266","false","","","","","","0.8901694678510296","0.4901377052881088","0.5086125074032644","0.5419570865381597","0.4816090490160317"
"honest-sweep-2","finished","-","luisgogu2001","","2023-12-27T10:42:49.000Z","272","in76zude","10","svm","5","dense_sift","false","","linear","3","44","1024","5","267","true","17","","","","","0.960353388144526","0.7395084372707263","0.7449663380375979","0.7499885695389896","0.7400587027330887"
"faithful-sweep-9","finished","-","luisgogu2001","","2023-12-29T08:58:01.000Z","12441","mvg8t7z3","10","logistic","","dense_sift","true","","","2","53","1024","5","269","true","10","","","","","0.9738673378341254","0.7958504994638524","0.8010881302319021","0.8035353992664073","0.7986658328604008"
"giddy-sweep-15","finished","-","luisgogu2001","","2023-12-27T04:39:08.000Z","13485","qj04povw","100","svm","3","sift","true","","precomputed","3","28","1024","5","271","true","","","","","","0.913195961899968","0.5523618714374401","0.5620137399230082","0.5704618904088173","0.5539804442229299"
"sunny-sweep-2","finished","-","luisgogu2001","","2023-12-28T07:51:45.000Z","4237","hny0a3ht","1","svm","2","akaze","true","","rbf","4","48","1024","5","273","false","","","","","","0.6924037097986662","0.2206120548563689","0.25362137005563884","0.3030875358256159","0.2218778440767984"
"treasured-sweep-1","finished","-","luisgogu2001","","2023-12-27T08:40:51.000Z","7309","in76zude","100","svm","2","dense_sift","true","","precomputed","3","38","1024","5","273","false","18","","","","","0.9316766885054132","0.6363818499915345","0.6450843390153699","0.646163912847757","0.6440587311765179"
"solar-sweep-4","finished","-","luisgogu2001","","2023-12-26T11:44:29.000Z","4401","qj04povw","1","svm","3","sift","true","","rbf","1","52","1024","5","277","true","","","","","","0.795104571679882","0.24136802302613017","0.269652866151776","0.3635689315089766","0.21585602879034588"
